DX_CLASS,ICD9_CD_NODOT,ICD9_CD,ICD10_CD_NODOT,ICD10_CD,ICD9_LDESC,ICD10_LDESC,LIST,sort
Possibly Self-Inflicted Injury,E9804,E98.04,T442X4A,T44.2X4A,"Poisoning by other specified drugs and medicinal substances, undetermined whether accidentally or purposely inflicted","Poisoning by ganglionic blocking drugs, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9804,E98.04,T443X4A,T44.3X4A,"Poisoning by other specified drugs and medicinal substances, undetermined whether accidentally or purposely inflicted","Poisoning by other parasympatholytics [anticholinergics and antimuscarinics] and spasmolytics, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9804,E98.04,T444X4A,T44.4X4A,"Poisoning by other specified drugs and medicinal substances, undetermined whether accidentally or purposely inflicted","Poisoning by predominantly alpha-adrenoreceptor agonists, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9804,E98.04,T445X4A,T44.5X4A,"Poisoning by other specified drugs and medicinal substances, undetermined whether accidentally or purposely inflicted","Poisoning by predominantly beta-adrenoreceptor agonists, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9804,E98.04,T446X4A,T44.6X4A,"Poisoning by other specified drugs and medicinal substances, undetermined whether accidentally or purposely inflicted","Poisoning by alpha-adrenoreceptor antagonists, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9804,E98.04,T447X4A,T44.7X4A,"Poisoning by other specified drugs and medicinal substances, undetermined whether accidentally or purposely inflicted","Poisoning by beta-adrenoreceptor antagonists, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9804,E98.04,T448X4A,T44.8X4A,"Poisoning by other specified drugs and medicinal substances, undetermined whether accidentally or purposely inflicted","Poisoning by centrally-acting and adrenergic-neuron-blocking agents, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9804,E98.04,T44904A,T44.904A,"Poisoning by other specified drugs and medicinal substances, undetermined whether accidentally or purposely inflicted","Poisoning by unspecified drugs primarily affecting the autonomic nervous system, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9804,E98.04,T44994A,T44.994A,"Poisoning by other specified drugs and medicinal substances, undetermined whether accidentally or purposely inflicted","Poisoning by other drug primarily affecting the autonomic nervous system, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9804,E98.04,T450X4A,T45.0X4A,"Poisoning by other specified drugs and medicinal substances, undetermined whether accidentally or purposely inflicted","Poisoning by antiallergic and antiemetic drugs, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9804,E98.04,T451X4A,T45.1X4A,"Poisoning by other specified drugs and medicinal substances, undetermined whether accidentally or purposely inflicted","Poisoning by antineoplastic and immunosuppressive drugs, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9804,E98.04,T452X4A,T45.2X4A,"Poisoning by other specified drugs and medicinal substances, undetermined whether accidentally or purposely inflicted","Poisoning by vitamins, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9804,E98.04,T453X4A,T45.3X4A,"Poisoning by other specified drugs and medicinal substances, undetermined whether accidentally or purposely inflicted","Poisoning by enzymes, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9804,E98.04,T454X4A,T45.4X4A,"Poisoning by other specified drugs and medicinal substances, undetermined whether accidentally or purposely inflicted","Poisoning by iron and its compounds, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9804,E98.04,T45514A,T45.514A,"Poisoning by other specified drugs and medicinal substances, undetermined whether accidentally or purposely inflicted","Poisoning by anticoagulants, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9804,E98.04,T45524A,T45.524A,"Poisoning by other specified drugs and medicinal substances, undetermined whether accidentally or purposely inflicted","Poisoning by antithrombotic drugs, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9804,E98.04,T45604A,T45.604A,"Poisoning by other specified drugs and medicinal substances, undetermined whether accidentally or purposely inflicted","Poisoning by unspecified fibrinolysis-affecting drugs, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9804,E98.04,T45614A,T45.614A,"Poisoning by other specified drugs and medicinal substances, undetermined whether accidentally or purposely inflicted","Poisoning by thrombolytic drug, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9804,E98.04,T45624A,T45.624A,"Poisoning by other specified drugs and medicinal substances, undetermined whether accidentally or purposely inflicted","Poisoning by hemostatic drug, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9804,E98.04,T45694A,T45.694A,"Poisoning by other specified drugs and medicinal substances, undetermined whether accidentally or purposely inflicted","Poisoning by other fibrinolysis-affecting drugs, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9804,E98.04,T457X4A,T45.7X4A,"Poisoning by other specified drugs and medicinal substances, undetermined whether accidentally or purposely inflicted","Poisoning by anticoagulant antagonists, vitamin K and other coagulants, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9804,E98.04,T458X4A,T45.8X4A,"Poisoning by other specified drugs and medicinal substances, undetermined whether accidentally or purposely inflicted","Poisoning by other primarily systemic and hematological agents, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9804,E98.04,T4594XA,T45.94XA,"Poisoning by other specified drugs and medicinal substances, undetermined whether accidentally or purposely inflicted","Poisoning by unspecified primarily systemic and hematological agent, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9804,E98.04,T460X4A,T46.0X4A,"Poisoning by other specified drugs and medicinal substances, undetermined whether accidentally or purposely inflicted","Poisoning by cardiac-stimulant glycosides and drugs of similar action, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9804,E98.04,T461X4A,T46.1X4A,"Poisoning by other specified drugs and medicinal substances, undetermined whether accidentally or purposely inflicted","Poisoning by calcium-channel blockers, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9804,E98.04,T462X4A,T46.2X4A,"Poisoning by other specified drugs and medicinal substances, undetermined whether accidentally or purposely inflicted","Poisoning by other antidysrhythmic drugs, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9804,E98.04,T463X4A,T46.3X4A,"Poisoning by other specified drugs and medicinal substances, undetermined whether accidentally or purposely inflicted","Poisoning by coronary vasodilators, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9804,E98.04,T464X4A,T46.4X4A,"Poisoning by other specified drugs and medicinal substances, undetermined whether accidentally or purposely inflicted","Poisoning by angiotensin-converting-enzyme inhibitors, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9804,E98.04,T465X4A,T46.5X4A,"Poisoning by other specified drugs and medicinal substances, undetermined whether accidentally or purposely inflicted","Poisoning by other antihypertensive drugs, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9804,E98.04,T466X4A,T46.6X4A,"Poisoning by other specified drugs and medicinal substances, undetermined whether accidentally or purposely inflicted","Poisoning by antihyperlipidemic and antiarteriosclerotic drugs, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9804,E98.04,T467X4A,T46.7X4A,"Poisoning by other specified drugs and medicinal substances, undetermined whether accidentally or purposely inflicted","Poisoning by peripheral vasodilators, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9804,E98.04,T468X4A,T46.8X4A,"Poisoning by other specified drugs and medicinal substances, undetermined whether accidentally or purposely inflicted","Poisoning by antivaricose drugs, including sclerosing agents, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9804,E98.04,T46904A,T46.904A,"Poisoning by other specified drugs and medicinal substances, undetermined whether accidentally or purposely inflicted","Poisoning by unspecified agents primarily affecting the cardiovascular system, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9804,E98.04,T46994A,T46.994A,"Poisoning by other specified drugs and medicinal substances, undetermined whether accidentally or purposely inflicted","Poisoning by other agents primarily affecting the cardiovascular system, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9804,E98.04,T470X4A,T47.0X4A,"Poisoning by other specified drugs and medicinal substances, undetermined whether accidentally or purposely inflicted","Poisoning by histamine H2-receptor blockers, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9804,E98.04,T471X4A,T47.1X4A,"Poisoning by other specified drugs and medicinal substances, undetermined whether accidentally or purposely inflicted","Poisoning by other antacids and anti-gastric-secretion drugs, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9804,E98.04,T472X4A,T47.2X4A,"Poisoning by other specified drugs and medicinal substances, undetermined whether accidentally or purposely inflicted","Poisoning by stimulant laxatives, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9804,E98.04,T473X4A,T47.3X4A,"Poisoning by other specified drugs and medicinal substances, undetermined whether accidentally or purposely inflicted","Poisoning by saline and osmotic laxatives, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9804,E98.04,T474X4A,T47.4X4A,"Poisoning by other specified drugs and medicinal substances, undetermined whether accidentally or purposely inflicted","Poisoning by other laxatives, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9804,E98.04,T475X4A,T47.5X4A,"Poisoning by other specified drugs and medicinal substances, undetermined whether accidentally or purposely inflicted","Poisoning by digestants, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9804,E98.04,T476X4A,T47.6X4A,"Poisoning by other specified drugs and medicinal substances, undetermined whether accidentally or purposely inflicted","Poisoning by antidiarrheal drugs, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9804,E98.04,T477X4A,T47.7X4A,"Poisoning by other specified drugs and medicinal substances, undetermined whether accidentally or purposely inflicted","Poisoning by emetics, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9804,E98.04,T478X4A,T47.8X4A,"Poisoning by other specified drugs and medicinal substances, undetermined whether accidentally or purposely inflicted","Poisoning by other agents primarily affecting gastrointestinal system, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9804,E98.04,T4794XA,T47.94XA,"Poisoning by other specified drugs and medicinal substances, undetermined whether accidentally or purposely inflicted","Poisoning by unspecified agents primarily affecting the gastrointestinal system, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9804,E98.04,T480X4A,T48.0X4A,"Poisoning by other specified drugs and medicinal substances, undetermined whether accidentally or purposely inflicted","Poisoning by oxytocic drugs, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9804,E98.04,T481X4A,T48.1X4A,"Poisoning by other specified drugs and medicinal substances, undetermined whether accidentally or purposely inflicted","Poisoning by skeletal muscle relaxants [neuromuscular blocking agents], undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9804,E98.04,T48204A,T48.204A,"Poisoning by other specified drugs and medicinal substances, undetermined whether accidentally or purposely inflicted","Poisoning by unspecified drugs acting on muscles, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9804,E98.04,T48294A,T48.294A,"Poisoning by other specified drugs and medicinal substances, undetermined whether accidentally or purposely inflicted","Poisoning by other drugs acting on muscles, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9804,E98.04,T483X4A,T48.3X4A,"Poisoning by other specified drugs and medicinal substances, undetermined whether accidentally or purposely inflicted","Poisoning by antitussives, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9804,E98.04,T484X4A,T48.4X4A,"Poisoning by other specified drugs and medicinal substances, undetermined whether accidentally or purposely inflicted","Poisoning by expectorants, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9804,E98.04,T485X4A,T48.5X4A,"Poisoning by other specified drugs and medicinal substances, undetermined whether accidentally or purposely inflicted","Poisoning by other anti-common-cold drugs, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9804,E98.04,T486X4A,T48.6X4A,"Poisoning by other specified drugs and medicinal substances, undetermined whether accidentally or purposely inflicted","Poisoning by antiasthmatics, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9804,E98.04,T48904A,T48.904A,"Poisoning by other specified drugs and medicinal substances, undetermined whether accidentally or purposely inflicted","Poisoning by unspecified agents primarily acting on the respiratory system, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9804,E98.04,T48994A,T48.994A,"Poisoning by other specified drugs and medicinal substances, undetermined whether accidentally or purposely inflicted","Poisoning by other agents primarily acting on the respiratory system, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9804,E98.04,T490X4A,T49.0X4A,"Poisoning by other specified drugs and medicinal substances, undetermined whether accidentally or purposely inflicted","Poisoning by local antifungal, anti-infective and anti-inflammatory drugs, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9804,E98.04,T491X4A,T49.1X4A,"Poisoning by other specified drugs and medicinal substances, undetermined whether accidentally or purposely inflicted","Poisoning by antipruritics, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9804,E98.04,T492X4A,T49.2X4A,"Poisoning by other specified drugs and medicinal substances, undetermined whether accidentally or purposely inflicted","Poisoning by local astringents and local detergents, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9804,E98.04,T493X4A,T49.3X4A,"Poisoning by other specified drugs and medicinal substances, undetermined whether accidentally or purposely inflicted","Poisoning by emollients, demulcents and protectants, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9804,E98.04,T494X4A,T49.4X4A,"Poisoning by other specified drugs and medicinal substances, undetermined whether accidentally or purposely inflicted","Poisoning by keratolytics, keratoplastics, and other hair treatment drugs and preparations, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9804,E98.04,T495X4A,T49.5X4A,"Poisoning by other specified drugs and medicinal substances, undetermined whether accidentally or purposely inflicted","Poisoning by ophthalmological drugs and preparations, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9804,E98.04,T496X4A,T49.6X4A,"Poisoning by other specified drugs and medicinal substances, undetermined whether accidentally or purposely inflicted","Poisoning by otorhinolaryngological drugs and preparations, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9804,E98.04,T497X4A,T49.7X4A,"Poisoning by other specified drugs and medicinal substances, undetermined whether accidentally or purposely inflicted","Poisoning by dental drugs, topically applied, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9804,E98.04,T498X4A,T49.8X4A,"Poisoning by other specified drugs and medicinal substances, undetermined whether accidentally or purposely inflicted","Poisoning by other topical agents, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9804,E98.04,T4994XA,T49.94XA,"Poisoning by other specified drugs and medicinal substances, undetermined whether accidentally or purposely inflicted","Poisoning by unspecified topical agent, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9804,E98.04,T500X4A,T50.0X4A,"Poisoning by other specified drugs and medicinal substances, undetermined whether accidentally or purposely inflicted","Poisoning by mineralocorticoids and their antagonists, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9804,E98.04,T502X4A,T50.2X4A,"Poisoning by other specified drugs and medicinal substances, undetermined whether accidentally or purposely inflicted","Poisoning by carbonic-anhydrase inhibitors, benzothiadiazides and other diuretics, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9804,E98.04,T503X4A,T50.3X4A,"Poisoning by other specified drugs and medicinal substances, undetermined whether accidentally or purposely inflicted","Poisoning by electrolytic, caloric and water-balance agents, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9804,E98.04,T504X4A,T50.4X4A,"Poisoning by other specified drugs and medicinal substances, undetermined whether accidentally or purposely inflicted","Poisoning by drugs affecting uric acid metabolism, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9804,E98.04,T505X4A,T50.5X4A,"Poisoning by other specified drugs and medicinal substances, undetermined whether accidentally or purposely inflicted","Poisoning by appetite depressants, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9804,E98.04,T506X4A,T50.6X4A,"Poisoning by other specified drugs and medicinal substances, undetermined whether accidentally or purposely inflicted","Poisoning by antidotes and chelating agents, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9804,E98.04,T507X4A,T50.7X4A,"Poisoning by other specified drugs and medicinal substances, undetermined whether accidentally or purposely inflicted","Poisoning by analeptics and opioid receptor antagonists, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9804,E98.04,T508X4A,T50.8X4A,"Poisoning by other specified drugs and medicinal substances, undetermined whether accidentally or purposely inflicted","Poisoning by diagnostic agents, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9804,E98.04,T50994A,T50.994A,"Poisoning by other specified drugs and medicinal substances, undetermined whether accidentally or purposely inflicted","Poisoning by other drugs, medicaments and biological substances, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9804,E98.04,T50A14A,T50.A14A,"Poisoning by other specified drugs and medicinal substances, undetermined whether accidentally or purposely inflicted","Poisoning by pertussis vaccine, including combinations with a pertussis component, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9804,E98.04,T50A24A,T50.A24A,"Poisoning by other specified drugs and medicinal substances, undetermined whether accidentally or purposely inflicted","Poisoning by mixed bacterial vaccines without a pertussis component, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9804,E98.04,T50A94A,T50.A94A,"Poisoning by other specified drugs and medicinal substances, undetermined whether accidentally or purposely inflicted","Poisoning by other bacterial vaccines, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9804,E98.04,T50B14A,T50.B14A,"Poisoning by other specified drugs and medicinal substances, undetermined whether accidentally or purposely inflicted","Poisoning by smallpox vaccines, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9804,E98.04,T50B94A,T50.B94A,"Poisoning by other specified drugs and medicinal substances, undetermined whether accidentally or purposely inflicted","Poisoning by other viral vaccines, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9804,E98.04,T50Z14A,T50.Z14A,"Poisoning by other specified drugs and medicinal substances, undetermined whether accidentally or purposely inflicted","Poisoning by immunoglobulin, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9804,E98.04,T50Z94A,T50.Z94A,"Poisoning by other specified drugs and medicinal substances, undetermined whether accidentally or purposely inflicted","Poisoning by other vaccines and biological substances, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9805,E98.05,NoDx,NoD.x,"Poisoning by unspecified drug or medicinal substance, undetermined whether accidentally or purposely inflicted", ,9,1
Possibly Self-Inflicted Injury,E9805,E98.05,T50904A,T50.904A,"Poisoning by unspecified drug or medicinal substance, undetermined whether accidentally or purposely inflicted","Poisoning by unspecified drugs, medicaments and biological substances, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9806,E98.06,NoDx,NoD.x,"Poisoning by corrosive and caustic substances, undetermined whether accidentally or purposely inflicted", ,9,1
Possibly Self-Inflicted Injury,E9806,E98.06,T540X4A,T54.0X4A,"Poisoning by corrosive and caustic substances, undetermined whether accidentally or purposely inflicted","Toxic effect of phenol and phenol homologues, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9806,E98.06,T5494XA,T54.94XA,"Poisoning by corrosive and caustic substances, undetermined whether accidentally or purposely inflicted","Toxic effect of unspecified corrosive substance, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9806,E98.06,T550X4A,T55.0X4A,"Poisoning by corrosive and caustic substances, undetermined whether accidentally or purposely inflicted","Toxic effect of soaps, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9806,E98.06,T551X4A,T55.1X4A,"Poisoning by corrosive and caustic substances, undetermined whether accidentally or purposely inflicted","Toxic effect of detergents, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9806,E98.06,T571X4A,T57.1X4A,"Poisoning by corrosive and caustic substances, undetermined whether accidentally or purposely inflicted","Toxic effect of phosphorus and its compounds, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9806,E98.06,T572X4A,T57.2X4A,"Poisoning by corrosive and caustic substances, undetermined whether accidentally or purposely inflicted","Toxic effect of manganese and its compounds, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9807,E98.07,NoDx,NoD.x,"Poisoning by agricultural and horticultural chemical and pharmaceutical preparations other than plant foods and fertilizers, undetermined whether accidentally or purposely inflicted", ,9,1
Possibly Self-Inflicted Injury,E9807,E98.07,T600X4A,T60.0X4A,"Poisoning by agricultural and horticultural chemical and pharmaceutical preparations other than plant foods and fertilizers, undetermined whether accidentally or purposely inflicted","Toxic effect of organophosphate and carbamate insecticides, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9807,E98.07,T601X4A,T60.1X4A,"Poisoning by agricultural and horticultural chemical and pharmaceutical preparations other than plant foods and fertilizers, undetermined whether accidentally or purposely inflicted","Toxic effect of halogenated insecticides, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9807,E98.07,T602X4A,T60.2X4A,"Poisoning by agricultural and horticultural chemical and pharmaceutical preparations other than plant foods and fertilizers, undetermined whether accidentally or purposely inflicted","Toxic effect of other insecticides, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9807,E98.07,T603X4A,T60.3X4A,"Poisoning by agricultural and horticultural chemical and pharmaceutical preparations other than plant foods and fertilizers, undetermined whether accidentally or purposely inflicted","Toxic effect of herbicides and fungicides, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9807,E98.07,T604X4A,T60.4X4A,"Poisoning by agricultural and horticultural chemical and pharmaceutical preparations other than plant foods and fertilizers, undetermined whether accidentally or purposely inflicted","Toxic effect of rodenticides, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9807,E98.07,T608X4A,T60.8X4A,"Poisoning by agricultural and horticultural chemical and pharmaceutical preparations other than plant foods and fertilizers, undetermined whether accidentally or purposely inflicted","Toxic effect of other pesticides, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9807,E98.07,T6094XA,T60.94XA,"Poisoning by agricultural and horticultural chemical and pharmaceutical preparations other than plant foods and fertilizers, undetermined whether accidentally or purposely inflicted","Toxic effect of unspecified pesticide, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9808,E98.08,NoDx,NoD.x,"Poisoning by arsenic and its compounds, undetermined whether accidentally or purposely inflicted", ,9,1
Possibly Self-Inflicted Injury,E9808,E98.08,T570X4A,T57.0X4A,"Poisoning by arsenic and its compounds, undetermined whether accidentally or purposely inflicted","Toxic effect of arsenic and its compounds, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9809,E98.09,NoDx,NoD.x,"Poisoning by other and unspecified solid and liquid substances, undetermined whether accidentally or purposely inflicted", ,9,1
Possibly Self-Inflicted Injury,E9809,E98.09,T510X4A,T51.0X4A,"Poisoning by other and unspecified solid and liquid substances, undetermined whether accidentally or purposely inflicted","Toxic effect of ethanol, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9809,E98.09,T511X4A,T51.1X4A,"Poisoning by other and unspecified solid and liquid substances, undetermined whether accidentally or purposely inflicted","Toxic effect of methanol, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9809,E98.09,T512X4A,T51.2X4A,"Poisoning by other and unspecified solid and liquid substances, undetermined whether accidentally or purposely inflicted","Toxic effect of 2-Propanol, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9809,E98.09,T513X4A,T51.3X4A,"Poisoning by other and unspecified solid and liquid substances, undetermined whether accidentally or purposely inflicted","Toxic effect of fusel oil, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9809,E98.09,T518X4A,T51.8X4A,"Poisoning by other and unspecified solid and liquid substances, undetermined whether accidentally or purposely inflicted","Toxic effect of other alcohols, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9809,E98.09,T5194XA,T51.94XA,"Poisoning by other and unspecified solid and liquid substances, undetermined whether accidentally or purposely inflicted","Toxic effect of unspecified alcohol, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9809,E98.09,T520X4A,T52.0X4A,"Poisoning by other and unspecified solid and liquid substances, undetermined whether accidentally or purposely inflicted","Toxic effect of petroleum products, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9809,E98.09,T521X4A,T52.1X4A,"Poisoning by other and unspecified solid and liquid substances, undetermined whether accidentally or purposely inflicted","Toxic effect of benzene, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9809,E98.09,T522X4A,T52.2X4A,"Poisoning by other and unspecified solid and liquid substances, undetermined whether accidentally or purposely inflicted","Toxic effect of homologues of benzene, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9809,E98.09,T523X4A,T52.3X4A,"Poisoning by other and unspecified solid and liquid substances, undetermined whether accidentally or purposely inflicted","Toxic effect of glycols, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9809,E98.09,T524X4A,T52.4X4A,"Poisoning by other and unspecified solid and liquid substances, undetermined whether accidentally or purposely inflicted","Toxic effect of ketones, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9809,E98.09,T528X4A,T52.8X4A,"Poisoning by other and unspecified solid and liquid substances, undetermined whether accidentally or purposely inflicted","Toxic effect of other organic solvents, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9809,E98.09,T5294XA,T52.94XA,"Poisoning by other and unspecified solid and liquid substances, undetermined whether accidentally or purposely inflicted","Toxic effect of unspecified organic solvent, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9809,E98.09,T530X4A,T53.0X4A,"Poisoning by other and unspecified solid and liquid substances, undetermined whether accidentally or purposely inflicted","Toxic effect of carbon tetrachloride, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9809,E98.09,T531X4A,T53.1X4A,"Poisoning by other and unspecified solid and liquid substances, undetermined whether accidentally or purposely inflicted","Toxic effect of chloroform, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9809,E98.09,T532X4A,T53.2X4A,"Poisoning by other and unspecified solid and liquid substances, undetermined whether accidentally or purposely inflicted","Toxic effect of trichloroethylene, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9809,E98.09,T533X4A,T53.3X4A,"Poisoning by other and unspecified solid and liquid substances, undetermined whether accidentally or purposely inflicted","Toxic effect of tetrachloroethylene, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9809,E98.09,T534X4A,T53.4X4A,"Poisoning by other and unspecified solid and liquid substances, undetermined whether accidentally or purposely inflicted","Toxic effect of dichloromethane, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9809,E98.09,T536X4A,T53.6X4A,"Poisoning by other and unspecified solid and liquid substances, undetermined whether accidentally or purposely inflicted","Toxic effect of other halogen derivatives of aliphatic hydrocarbons, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9809,E98.09,T537X4A,T53.7X4A,"Poisoning by other and unspecified solid and liquid substances, undetermined whether accidentally or purposely inflicted","Toxic effect of other halogen derivatives of aromatic hydrocarbons, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9809,E98.09,T5394XA,T53.94XA,"Poisoning by other and unspecified solid and liquid substances, undetermined whether accidentally or purposely inflicted","Toxic effect of unspecified halogen derivatives of aliphatic and aromatic hydrocarbons, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9809,E98.09,T561X4A,T56.1X4A,"Poisoning by other and unspecified solid and liquid substances, undetermined whether accidentally or purposely inflicted","Toxic effect of mercury and its compounds, undetermined, initial encounter",10,1
Possibly Self-Inflicted Injury,E9809,E98.09,T562X4A,T56.2X4A,"Poisoning by other and unspecified solid and liquid substances, undetermined whether accidentally or purposely inflicted","Toxic effect of chromium and its compounds, undetermined, initial encounter",10,1
